City,Latitude,Longitude
VANCOUVER,49.244599,-123.046171
VANCOUVER,49.27971,-123.107629
VANCOUVER,49.277468,-123.057878
VANCOUVER,49.277445,-123.03361
VANCOUVER,49.27746,-123.036234
VANCOUVER,49.234392,-123.143334
VANCOUVER,49.227012,-123.143582
VANCOUVER,49.250062,-123.167831
VANCOUVER,49.291162,-123.132808
VANCOUVER,49.268643,-123.11072
VANCOUVER,49.233488,-123.11345
VANCOUVER,49.232439,-123.113482
VANCOUVER,49.226877,-123.112977
VANCOUVER,49.216897,-123.113356
VANCOUVER,49.264782,-123.110882
VANCOUVER,49.263484,-123.131367
VANCOUVER,49.284104,-123.099491
VANCOUVER,49.283368,-123.104002
VANCOUVER,49.272274,-123.185574
VANCOUVER,49.266068,-123.185795
VANCOUVER,49.274495,-123.119985
VANCOUVER,49.271071,-123.133928
VANCOUVER,49.268775,-123.138191
VANCOUVER,49.23446,-123.147668
VANCOUVER,49.219452,-123.14825
VANCOUVER,49.215393,-123.154676
VANCOUVER,49.260049,-123.153096
VANCOUVER,49.258215,-123.153076
VANCOUVER,49.256211,-123.152942
VANCOUVER,49.270783,-123.152669
VANCOUVER,49.254399,-123.152997
VANCOUVER,49.25349,-123.153016
VANCOUVER,49.243025,-123.153441
VANCOUVER,49.238291,-123.155447
VANCOUVER,49.224989,-123.155212
VANCOUVER,49.219571,-123.154515
VANCOUVER,49.218839,-123.154543
VANCOUVER,49.266409,-123.152837
VANCOUVER,49.232629,-123.071514
VANCOUVER,49.227127,-123.071696
VANCOUVER,49.216286,-123.071975
VANCOUVER,49.214577,-123.072028
VANCOUVER,49.223251,-123.02816
VANCOUVER,49.23927,-123.033485
VANCOUVER,49.258787,-123.117707
VANCOUVER,49.256945,-123.118128
VANCOUVER,49.254257,-123.118223
VANCOUVER,49.247998,-123.118497
VANCOUVER,49.245242,-123.118573
VANCOUVER,49.215987,-123.120086
VANCOUVER,49.214202,-123.120125
VANCOUVER,49.265013,-123.117445
VANCOUVER,49.205741,-123.119119
VANCOUVER,49.249035,-123.118414
VANCOUVER,49.234228,-123.13639
VANCOUVER,49.244598,-123.045875
VANCOUVER,49.208005,-123.142192
VANCOUVER,49.302566,-123.12912
VANCOUVER,49.239471,-123.175778
VANCOUVER,49.265866,-123.173931
VANCOUVER,49.250018,-123.175677
VANCOUVER,49.242353,-123.059161
VANCOUVER,49.269125,-123.159823
VANCOUVER,49.232813,-123.161406
VANCOUVER,49.289058,-123.135977
VANCOUVER,49.286515,-123.132055
VANCOUVER,49.28188,-123.124968
VANCOUVER,49.229245,-123.030509
VANCOUVER,49.231971,-123.030602
VANCOUVER,49.291418,-123.129298
VANCOUVER,49.27408,-123.130771
VANCOUVER,49.274115,-123.130809
VANCOUVER,49.284569,-123.142724
VANCOUVER,49.281576,-123.139518
VANCOUVER,49.279284,-123.137129
VANCOUVER,49.27536,-123.132758
VANCOUVER,49.274759,-123.131816
VANCOUVER,49.280513,-123.138363
VANCOUVER,49.245786,-123.066531
VANCOUVER,49.271742,-123.087021
VANCOUVER,49.258131,-123.031992
VANCOUVER,49.232831,-123.057865
VANCOUVER,49.286241,-123.140236
VANCOUVER,49.289762,-123.134926
VANCOUVER,49.288332,-123.137065
VANCOUVER,49.290467,-123.133879
VANCOUVER,49.262555,-123.133753
VANCOUVER,49.263519,-123.13372
VANCOUVER,49.261529,-123.177919
VANCOUVER,49.260632,-123.177962
VANCOUVER,49.259722,-123.178004
VANCOUVER,49.252833,-123.17857
VANCOUVER,49.248988,-123.178577
VANCOUVER,49.246153,-123.178596
VANCOUVER,49.238564,-123.178659
VANCOUVER,49.260096,-123.023654
VANCOUVER,49.247046,-123.023696
VANCOUVER,49.24618,-123.023687
VANCOUVER,49.242547,-123.023688
VANCOUVER,49.274875,-123.023534
VANCOUVER,49.224637,-123.023484
VANCOUVER,49.246708,-123.058043
VANCOUVER,49.287583,-123.033599
VANCOUVER,49.243861,-123.056656
VANCOUVER,49.220136,-123.035277
VANCOUVER,49.234716,-123.070061
VANCOUVER,49.2252,-123.069937
VANCOUVER,49.266741,-123.096256
VANCOUVER,49.26544,-123.096928
VANCOUVER,49.262785,-123.097017
VANCOUVER,49.288109,-123.115483
VANCOUVER,49.259051,-123.145937
VANCOUVER,49.264637,-123.145737
VANCOUVER,49.236051,-123.044384
VANCOUVER,49.224663,-123.033692
VANCOUVER,49.215663,-123.033735
VANCOUVER,49.268228,-123.114886
VANCOUVER,49.223827,-123.116487
VANCOUVER,49.278209,-123.114962
VANCOUVER,49.258738,-123.115022
VANCOUVER,49.257827,-123.115037
VANCOUVER,49.268172,-123.114706
VANCOUVER,49.251214,-123.115325
VANCOUVER,49.250095,-123.11536
VANCOUVER,49.247029,-123.115486
VANCOUVER,49.243676,-123.117305
VANCOUVER,49.242176,-123.118498
VANCOUVER,49.234467,-123.116043
VANCOUVER,49.228809,-123.116407
VANCOUVER,49.227002,-123.116335
VANCOUVER,49.225191,-123.116563
VANCOUVER,49.221716,-123.116685
VANCOUVER,49.215931,-123.117036
VANCOUVER,49.215002,-123.116942
VANCOUVER,49.213204,-123.117009
VANCOUVER,49.283537,-123.109152
VANCOUVER,49.206071,-123.117291
VANCOUVER,49.273075,-123.1147
VANCOUVER,49.286716,-123.044061
VANCOUVER,49.263647,-123.19697
VANCOUVER,49.258118,-123.197165
VANCOUVER,49.287359,-123.113083
VANCOUVER,49.291811,-123.128641
VANCOUVER,49.288787,-123.13334
VANCOUVER,49.228194,-123.173603
VANCOUVER,49.264141,-123.172058
VANCOUVER,49.256437,-123.091844
VANCOUVER,49.248665,-123.092139
VANCOUVER,49.280492,-123.104378
VANCOUVER,49.219322,-123.137746
VANCOUVER,49.207025,-123.137714
VANCOUVER,49.249357,-123.136705
VANCOUVER,49.269513,-123.131869
VANCOUVER,49.249644,-123.031068
VANCOUVER,49.280899,-123.03176
VANCOUVER,49.211553,-123.029512
VANCOUVER,49.215644,-123.030279
VANCOUVER,49.210558,-123.027277
VANCOUVER,49.273053,-123.069582
VANCOUVER,49.272956,-123.057969
VANCOUVER,49.273269,-123.049398
VANCOUVER,49.235433,-123.03459
VANCOUVER,49.232891,-123.089294
VANCOUVER,49.227359,-123.089346
VANCOUVER,49.225434,-123.089402
VANCOUVER,49.208346,-123.089265
VANCOUVER,49.275305,-123.146217
VANCOUVER,49.234359,-123.141428
VANCOUVER,49.279462,-123.11004
VANCOUVER,49.278416,-123.111703
VANCOUVER,49.243009,-123.109102
VANCOUVER,49.238892,-123.055442
VANCOUVER,49.237393,-123.055482
VANCOUVER,49.235866,-123.055494
VANCOUVER,49.231787,-123.05522
VANCOUVER,49.220189,-123.056439
VANCOUVER,49.257815,-123.076978
VANCOUVER,49.256248,-123.077839
VANCOUVER,49.274941,-123.077297
VANCOUVER,49.27404,-123.077299
VANCOUVER,49.257963,-123.18207
VANCOUVER,49.270348,-123.181644
VANCOUVER,49.265994,-123.181799
VANCOUVER,49.252846,-123.109881
VANCOUVER,49.23056,-123.110867
VANCOUVER,49.225901,-123.110734
VANCOUVER,49.266577,-123.109451
VANCOUVER,49.263849,-123.109477
VANCOUVER,49.248956,-123.11001
VANCOUVER,49.267792,-123.069678
VANCOUVER,49.266982,-123.069697
VANCOUVER,49.265887,-123.06972
VANCOUVER,49.262926,-123.069784
VANCOUVER,49.271372,-123.069625
VANCOUVER,49.272138,-123.069607
VANCOUVER,49.274864,-123.069545
VANCOUVER,49.283083,-123.070348
VANCOUVER,49.275761,-123.069532
VANCOUVER,49.2326,-123.068686
VANCOUVER,49.267917,-123.115317
VANCOUVER,49.289694,-123.141267
VANCOUVER,49.285856,-123.135376
VANCOUVER,49.243577,-123.127684
VANCOUVER,49.244229,-123.132674
VANCOUVER,49.240021,-123.142482
VANCOUVER,49.257533,-123.055007
VANCOUVER,49.272494,-123.148977
VANCOUVER,49.268715,-123.071589
VANCOUVER,49.273964,-123.071492
VANCOUVER,49.269861,-123.083872
VANCOUVER,49.263699,-123.200081
VANCOUVER,49.208804,-123.080804
VANCOUVER,49.211105,-123.080694
VANCOUVER,49.269014,-123.112326
VANCOUVER,49.229467,-123.195163
VANCOUVER,49.258069,-123.194126
VANCOUVER,49.240216,-123.078983
VANCOUVER,49.225305,-123.078683
VANCOUVER,49.242052,-123.149436
VANCOUVER,49.258122,-123.148356
VANCOUVER,49.227092,-123.149489
VANCOUVER,49.263742,-123.148141
